,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Naughty Girl,0.588,0.461,6.0,-8.686,0.0,0.161,0.237,1.5399999999999998e-05,0.0913,0.659,200.053,audio_features,0YGQ3hZcRLC5YX7o0hdmHg,spotify:track:0YGQ3hZcRLC5YX7o0hdmHg,https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg,https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg,208573.0,4.0
Yearning,0.17300000000000001,0.0074,8.0,-33.416,1.0,0.0392,0.9890000000000001,0.8290000000000001,0.11699999999999999,0.0395,75.101,audio_features,2eEmTR3Z7KnbZ6wkctRIjO,spotify:track:2eEmTR3Z7KnbZ6wkctRIjO,https://api.spotify.com/v1/tracks/2eEmTR3Z7KnbZ6wkctRIjO,https://api.spotify.com/v1/audio-analysis/2eEmTR3Z7KnbZ6wkctRIjO,144500.0,4.0
Tik Tik Boom (feat. T.I.),0.7509999999999999,0.767,5.0,-6.477,0.0,0.0639,0.23800000000000002,0.0,0.562,0.56,134.851,audio_features,4mWmOPT9SIWWSJxc4qT7If,spotify:track:4mWmOPT9SIWWSJxc4qT7If,https://api.spotify.com/v1/tracks/4mWmOPT9SIWWSJxc4qT7If,https://api.spotify.com/v1/audio-analysis/4mWmOPT9SIWWSJxc4qT7If,176973.0,4.0
Change Your Mind (No Seas Cortes),0.757,0.69,11.0,-7.922999999999999,0.0,0.162,0.13,0.0,0.10800000000000001,0.652,117.93700000000001,audio_features,1SEzEo04ivkvN8x6rppuwD,spotify:track:1SEzEo04ivkvN8x6rppuwD,https://api.spotify.com/v1/tracks/1SEzEo04ivkvN8x6rppuwD,https://api.spotify.com/v1/audio-analysis/1SEzEo04ivkvN8x6rppuwD,179920.0,4.0
...Ready For It?,0.613,0.764,2.0,-6.5089999999999995,1.0,0.136,0.0527,0.0,0.19699999999999998,0.41700000000000004,160.015,audio_features,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,208187.0,4.0
This Feeling,0.575,0.5710000000000001,1.0,-7.906000000000001,1.0,0.0439,0.0558,0.0,0.0912,0.449,105.04899999999999,audio_features,4NBTZtAt1F13VvlSKe6KTl,spotify:track:4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/tracks/4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/audio-analysis/4NBTZtAt1F13VvlSKe6KTl,197947.0,4.0
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.853,0.693,1.0,-6.87,1.0,0.275,0.0239,0.0,0.11,0.662,95.96700000000001,audio_features,4X5f3vT8MRuXF68pfjNte5,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787.0,4.0
Where The Wind Blows,0.512,0.902,6.0,-2.9739999999999998,1.0,0.0475,5.539999999999999e-05,0.00143,0.0648,0.664,146.984,audio_features,2UQWjFMCOWaENx8sf2n5SC,spotify:track:2UQWjFMCOWaENx8sf2n5SC,https://api.spotify.com/v1/tracks/2UQWjFMCOWaENx8sf2n5SC,https://api.spotify.com/v1/audio-analysis/2UQWjFMCOWaENx8sf2n5SC,265082.0,4.0
Dreamer,0.534,0.6679999999999999,6.0,-4.55,0.0,0.0351,0.0975,0.0,0.191,0.326,119.965,audio_features,1b2C65g0kgbybIAeKCxRYl,spotify:track:1b2C65g0kgbybIAeKCxRYl,https://api.spotify.com/v1/tracks/1b2C65g0kgbybIAeKCxRYl,https://api.spotify.com/v1/audio-analysis/1b2C65g0kgbybIAeKCxRYl,168000.0,4.0
Harley Quinn,0.872,0.684,5.0,-7.106,1.0,0.05,0.00563,0.0138,0.174,0.541,148.0,audio_features,0FCECeOtvMAGosjKB08s28,spotify:track:0FCECeOtvMAGosjKB08s28,https://api.spotify.com/v1/tracks/0FCECeOtvMAGosjKB08s28,https://api.spotify.com/v1/audio-analysis/0FCECeOtvMAGosjKB08s28,144000.0,4.0
